sampleid	purity	PC	PoP	Euploidy	pl.tumor	pl.overall	%amp	%del	%del.loh	%cn.loh
TCGA.RB.AA9M.01A	0.1	0.33	0.874	2	1.94	1.99	0.165	0.165	0.221	0.0381
TCGA.RL.AAAS.01A	0.12	0.0737	0.622	2	2.02	2	0.0578	0.0159	0.0159	0.012
TCGA.S4.A8RM.01A	0.67	0.352	0.0326	2	1.89	1.93	0.0655	0.286	0.00164	0.00982
TCGA.S4.A8RO.01A	0.71	0.306	0.147	2	1.98	1.99	0.0935	0.212	0.0126	0.0108
TCGA.S4.A8RP.01A	0.53	0.395	0.466	4	3.85	3.92	0.163	0.232	0	0
TCGA.US.A774.01A	0.72	0.356	0	2	2	2	0.187	0.169	0	0
TCGA.US.A776.01A	0.84	0.622	0.0861	4	4	4	0.339	0.283	0	0
TCGA.US.A779.01A	0.54	0.269	0.0265	2	2.02	2.01	0.198	0.0712	0	0
TCGA.US.A77E.01A	0.39	0.282	0.185	2	2.03	2.01	0.108	0.174	0	0.0174
TCGA.US.A77G.01A	0.39	0.231	0.103	2	1.88	1.95	0.075	0.156	0.0217	0.00197
TCGA.US.A77J.01A	0.57	0.0166	0	2	2	2	0	0.0166	0	0
TCGA.XD.AAUG.01A	0.99	0.0372	0	2	2	2	0.00808	0.0291	0	0
TCGA.XD.AAUH.01A	0.99	0.00699	0	2	2	2	0	0.00699	0	0
TCGA.XD.AAUI.01A	0.7	0.0364	0.154	2	2.02	2.01	0.0168	0.0196	0	0
TCGA.XD.AAUL.01A	0.22	0.0792	0.196	2	1.98	2	0.031	0.0482	0.012	0
TCGA.XN.A8T3.01A	0.28	0.308	0.158	2	1.93	1.98	0.0879	0.221	0.0355	0
TCGA.XN.A8T5.01A	0.83	0.025	0	2	2	2	0.00499	0.02	0	0
TCGA.YB.A89D.01A	0.35	0.487	0.467	4	3.67	3.89	0.0871	0.4	0.00198	0
TCGA.YH.A8SY.01A	0.3	0.463	0.0897	2	1.87	1.96	0.154	0.309	0.0158	0
TCGA.YY.A8LH.01A	0.7	0.318	0.153	4	3.8	3.86	0.0819	0.236	0	0
