sampleid	purity	PC	PoP	Euploidy	pl.tumor	pl.overall	%amp	%del	%del.loh	%cn.loh
TCGA.QC.A6FX.01A	0.72	0.904	0.207	4	3.43	3.59	0.203	0.702	0	0
TCGA.QC.A7B5.01A	0.61	0.817	0.124	4	3.52	3.71	0.329	0.488	0	0
TCGA.QC.AA9N.01A	0.73	0.537	0.0654	2	1.73	1.8	0.115	0.421	0.0263	0
TCGA.QQ.A5V2.01A	0.9	0.0535	0	2	2	2	0.0194	0.034	0	0
TCGA.QQ.A5V9.01A	0.61	0.775	0.174	2	1.72	1.83	0.103	0.673	0.0289	0.0514
TCGA.QQ.A5VA.01A	0.3	0.609	0.693	2	2.43	2.13	0.377	0.232	0.0151	0.266
TCGA.QQ.A5VB.01A	0.51	0.921	0.282	2	2.05	2.03	0.38	0.54	0	0.234
TCGA.QQ.A5VC.01A	0.79	0.961	0.291	2	2.16	2.13	0.432	0.529	0.00168	0.268
TCGA.QQ.A5VD.01A	0.17	0.235	0.34	2	1.91	1.98	0.0767	0.158	0.0543	0.00639
TCGA.QQ.A8VB.01A	0.91	0.587	0.296	4	3.18	3.25	0.029	0.558	0	0
TCGA.QQ.A8VD.01A	0.17	0.143	0.233	2	2.02	2	0.0884	0.055	0.00982	0.0118
TCGA.QQ.A8VF.01A	0.79	0.777	0.0354	2	1.36	1.5	0.0372	0.739	0.0275	0
TCGA.QQ.A8VG.01A	0.15	0.161	0.524	2	1.98	2	0.0888	0.072	0.0551	0.00613
TCGA.QQ.A8VH.01A	0.89	0.447	0.216	4	3.75	3.78	0.116	0.331	0	0.0014
TCGA.RN.A68Q.01A	0.83	0.335	0	2	1.99	2	0.15	0.184	0	0
TCGA.RN.AAAQ.01A	0.71	0.537	0.356	4	3.38	3.56	0.0804	0.457	0	0
TCGA.SG.A6Z4.01A	0.9	0.592	0.361	4	3.29	3.36	0.0853	0.506	0	0
TCGA.SG.A6Z7.01A	0.97	0.634	0.183	4	3.78	3.78	0.142	0.492	0	0.0122
TCGA.SG.A849.01A	0.27	0.254	0.524	2	2.12	2.03	0.182	0.0718	0.0193	0.00701
TCGA.SI.A71O.01A	0.96	0.465	0.303	4	3.69	3.7	0.1	0.365	0	0.0339
TCGA.SI.A71O.06A	0.77	0.171	0.171	4	4.01	4.01	0.0504	0.121	0	0
TCGA.SI.A71P.01A	0.39	0.264	0.517	4	3.83	3.93	0.0351	0.229	0	0.00185
TCGA.SI.A71Q.01A	0.94	0.624	0.108	4	3.7	3.72	0.174	0.45	0	0
TCGA.SI.AA8B.01A	0.82	0.775	0.143	4	3.43	3.53	0.188	0.587	0	0
TCGA.SI.AA8C.01A	0.95	0.207	0.217	2	1.87	1.88	0.0255	0.181	0.0375	0.003
TCGA.UE.A6QT.01A	0.12	0.253	0.719	2	1.97	2	0.0398	0.213	0.0969	0.0571
TCGA.UE.A6QU.01A	0.41	0.712	0.0772	2	1.79	1.92	0.171	0.541	0.00423	0.0296
TCGA.VT.A80G.01A	0.92	0.588	0.437	4	3.55	3.59	0.138	0.45	0	0
TCGA.VT.AB3D.01A	0.23	0.233	0.347	2	1.93	1.98	0.047	0.186	0.0282	0.0244
TCGA.WK.A8XO.01A	0.64	0.348	0.0979	2	1.96	1.97	0.141	0.207	0	0.00592
TCGA.WK.A8XQ.01A	0.05	0	NaN	2	2	2	0	0	0	0
TCGA.WK.A8XT.01A	0.89	0.313	0.141	2	1.92	1.93	0.137	0.176	0.044	0
TCGA.WK.A8XX.01A	0.87	0.654	0.263	4	3.53	3.59	0.186	0.469	0	0
TCGA.WK.A8XY.01A	0.98	0.289	0.563	2	1.76	1.77	0.00995	0.279	0.159	0.00332
TCGA.WP.A9GB.01A	0.96	0.626	0.176	4	3.46	3.48	0.138	0.488	0	0.0213
TCGA.X2.A95T.01A	0.95	0.365	0.29	2	1.9	1.9	0.13	0.236	0.0918	0
TCGA.X6.A7W8.01A	0.69	0.874	0.217	2	2.08	2.05	0.439	0.435	0.0296	0.115
TCGA.X6.A7WA.01A	0.82	0.238	0.137	2	1.93	1.94	0.0909	0.147	0.0255	0.00545
TCGA.X6.A7WB.01A	0.98	0.244	0.48	2	1.88	1.88	0.0693	0.174	0.117	0
TCGA.X6.A7WC.01A	0.77	0.558	0.0462	2	1.96	1.97	0.162	0.397	0.00172	0.00172
TCGA.X6.A7WD.01A	0.91	0.159	0.165	2	1.92	1.93	0.0185	0.14	0.0262	0
TCGA.X6.A8C2.01A	0.79	0.663	0.0894	2	2.14	2.11	0.374	0.289	0.0037	0.0204
TCGA.X6.A8C3.01A	0.63	0.739	0.424	4	3.74	3.84	0.251	0.488	0	0
TCGA.X6.A8C4.01A	0.94	0.857	0.269	4	3.31	3.36	0.202	0.655	0	0
TCGA.X6.A8C5.01A	0.79	0.493	0.333	4	3.7	3.77	0.166	0.327	0	0
TCGA.X6.A8C6.01A	0.56	0.629	0.195	2	2.04	2.02	0.22	0.409	0.0071	0.0639
TCGA.X6.A8C7.01A	0.13	0.277	0.671	2	1.8	1.97	0.0946	0.182	0.127	0.0304
TCGA.X9.A971.01A	0.95	0.397	0.206	4	3.91	3.92	0.148	0.249	0	0
TCGA.X9.A973.01A	0.65	0.974	0.129	2	2.19	2.12	0.3	0.675	0	0.123
TCGA.Z4.A8JB.01A	0.54	0.301	0	2	1.98	1.99	0.173	0.128	0	0
TCGA.Z4.A9VC.01A	0.08	0.113	1	2	2.01	2	0.0646	0.0485	0.0707	0.0283
TCGA.Z4.AAPF.01A	0.92	0.664	0.413	4	4.6	4.55	0.466	0.198	0	0
TCGA.Z4.AAPG.01A	0.88	0.75	0.338	4	3.02	3.14	0.0693	0.681	0	0
