sampleid	purity	PC	PoP	Euploidy	pl.tumor	pl.overall	%amp	%del	%del.loh	%cn.loh
TCGA.Q9.A6FW.01A	0.45	0.578	0.106	2	2.02	2.01	0.217	0.361	0.0018	0.0144
TCGA.R6.A6DN.01B	0.83	0.736	0.562	4	4.02	4.02	0.255	0.48	0	0
TCGA.R6.A6DQ.01B	0.52	0.31	0.528	4	3.88	3.94	0.0739	0.236	0	0
TCGA.R6.A6KZ.01A	0.54	0.418	0.168	2	1.87	1.93	0.0829	0.335	0.00541	0.0486
TCGA.R6.A6L4.01A	0.46	0.503	0.746	2	2.69	2.32	0.444	0.0587	0	0.0466
TCGA.R6.A6L6.01B	0.17	0.375	0.433	2	2.01	2	0.0905	0.285	0.0838	0.0218
TCGA.R6.A6XG.01B	0.77	0.631	0.0919	2	1.88	1.91	0.193	0.439	0.0119	0.0324
TCGA.R6.A6XQ.01B	0.85	0.719	0.31	4	3.61	3.67	0.212	0.507	0	0
TCGA.R6.A6Y0.01B	0.33	0.327	0.422	2	2.15	2.05	0.194	0.132	0.00363	0.0363
TCGA.R6.A6Y2.01B	0.55	0.755	0.165	2	1.87	1.93	0.0997	0.655	0	0.0964
TCGA.R6.A8W5.01B	0.18	0.328	0.262	2	1.73	1.95	0.0875	0.241	0.064	0.00842
TCGA.R6.A8W8.01B	0.74	0.613	0.0867	2	2.12	2.09	0.309	0.305	0.00177	0.0213
TCGA.R6.A8WC.01A	0.89	0.823	0.0918	2	2.37	2.33	0.517	0.306	0.00199	0.0616
TCGA.R6.A8WG.01A	0.67	0.619	0.0521	2	1.69	1.79	0.108	0.511	0.029	0
TCGA.RE.A7BO.01A	0.57	0.657	0.258	2	2.16	2.09	0.447	0.21	0.00186	0.0968
TCGA.S8.A6BV.01A	0.5	0.283	0.28	2	2.18	2.09	0.193	0.0896	0	0.0105
TCGA.S8.A6BW.01A	0.73	0.531	0.564	4	3.53	3.66	0.127	0.404	0	0
TCGA.V5.A7RB.01A	0.6	0.371	0.314	2	1.99	1.99	0.118	0.253	0.0512	0.053
TCGA.V5.A7RC.01B	0.73	0.543	0.295	4	4.06	4.04	0.185	0.358	0	0
TCGA.V5.A7RC.06A	0.66	0.427	0.581	4	3.91	3.94	0.103	0.324	0	0
TCGA.V5.A7RE.01A	0.69	0.578	0.0203	2	1.9	1.93	0.277	0.301	0.00195	0.00586
TCGA.V5.AASV.01A	0.73	0.486	0.0932	2	2.26	2.19	0.341	0.145	0.00174	0.0244
TCGA.V5.AASW.01A	0.8	0.771	0.33	4	3.1	3.28	0.0544	0.717	0	0
