Gene	Cancer	CountGreaterThan1TPM	FractionGreaterThan1TPM	SpearmanCorrelationWithCYT	SpearmanPvalue
CT45A1	STAD	5	0.02	-0.05	4.3E-01
SLCO6A1	STAD	1	0.00	-0.16	9.9E-03
PASD1	STAD	11	0.04	-0.19	1.3E-03
PRSS54	STAD	161	0.59	-0.11	7.1E-02
TSSK6	STAD	253	0.92	-0.13	3.2E-02
TSPY3	STAD	1	0.00	-0.08	1.7E-01
CALR3	STAD	2	0.01	-0.14	2.1E-02
CAGE1	STAD	1	0.00	-0.01	8.4E-01
DPPA2	STAD	8	0.03	-0.06	3.3E-01
FAM46D	STAD	3	0.01	-0.11	6.0E-02
CCDC83	STAD	1	0.00	-0.10	1.0E-01
SSX5	STAD	7	0.03	-0.03	6.7E-01
TSPY2	STAD	1	0.00	-0.07	2.8E-01
CTAG1	STAD	6	0.02	-0.04	5.4E-01
MAGEA2	THCA	1	0.00	0.13	5.2E-03
MAGEA3	THCA	1	0.00	-0.03	4.6E-01
MAGEA6	THCA	1	0.00	-0.05	2.8E-01
SSX3	THCA	7	0.01	-0.08	8.6E-02
CSAG2	THCA	2	0.00	0.11	1.3E-02
PRSS54	THCA	1	0.00	-0.07	1.5E-01
TSSK6	THCA	429	0.88	-0.11	1.9E-02
SSX5	THCA	63	0.13	-0.09	4.1E-02
SSX7	THCA	1	0.00	-0.03	5.4E-01
CTAG1	THCA	5	0.01	-0.09	5.8E-02
MAGEA1	UCEC	40	0.08	0.03	5.4E-01
MAGEA2	UCEC	80	0.15	0.04	4.2E-01
MAGEA3	UCEC	80	0.15	-0.05	2.5E-01
MAGEA4	UCEC	92	0.18	-0.08	7.2E-02
MAGEA5	UCEC	24	0.05	-0.06	1.9E-01
MAGEA6	UCEC	86	0.16	-0.03	5.4E-01
MAGEA10	UCEC	36	0.07	-0.07	1.0E-01
MAGEB1	UCEC	7	0.01	-0.12	6.8E-03
MAGEB2	UCEC	21	0.04	0.05	2.4E-01
MAGEB6	UCEC	6	0.01	-0.05	2.9E-01
MAGEB3	UCEC	1	0.00	-0.02	6.1E-01
GAGE1	UCEC	34	0.06	-0.09	3.8E-02
SSX3	UCEC	6	0.01	-0.08	6.0E-02
MAGEC1	UCEC	18	0.03	-0.09	3.9E-02
BRDT	UCEC	7	0.01	-0.01	9.1E-01
SPANXC	UCEC	5	0.01	-0.02	5.8E-01
SPANXN1	UCEC	3	0.01	-0.03	5.4E-01
SPANXN2	UCEC	1	0.00	-0.07	9.3E-02
SPANXN3	UCEC	1	0.00	0.02	6.0E-01
SPANXN5	UCEC	1	0.00	-0.02	5.9E-01
XAGE2	UCEC	81	0.15	-0.02	6.0E-01
ADAM2	UCEC	14	0.03	0.01	7.9E-01
PAGE1	UCEC	46	0.09	-0.05	3.0E-01
PAGE3	UCEC	1	0.00	0.00	9.7E-01
CSAG2	UCEC	143	0.27	0.12	7.8E-03
DDX53	UCEC	5	0.01	-0.01	7.9E-01
TFDP3	UCEC	6	0.01	-0.14	1.5E-03
FMR1NB	UCEC	5	0.01	-0.10	1.7E-02
FTHL17	UCEC	5	0.01	-0.12	7.0E-03
CT45A1	UCEC	118	0.23	-0.09	3.7E-02
CT47A1	UCEC	11	0.02	-0.06	1.7E-01
CT47A6	UCEC	5	0.01	-0.03	4.3E-01
CT47A7	UCEC	6	0.01	-0.06	1.4E-01
SLCO6A1	UCEC	9	0.02	-0.03	4.6E-01
PASD1	UCEC	15	0.03	-0.08	6.8E-02
PRSS54	UCEC	4	0.01	-0.02	6.6E-01
TSSK6	UCEC	475	0.91	-0.13	3.6E-03
CPXCR1	UCEC	13	0.02	0.05	2.9E-01
TSPY3	UCEC	3	0.01	0.00	9.8E-01
CALR3	UCEC	3	0.01	-0.06	1.7E-01
CAGE1	UCEC	1	0.00	-0.04	3.3E-01
DPPA2	UCEC	51	0.10	0.13	3.2E-03
POTEB	UCEC	1	0.00	-0.07	1.0E-01
FAM46D	UCEC	1	0.00	-0.13	4.1E-03
ODF4	UCEC	4	0.01	-0.09	4.4E-02
ZNF645	UCEC	1	0.00	0.05	2.3E-01
CCDC83	UCEC	1	0.00	-0.02	6.3E-01
TMPRSS12	UCEC	5	0.01	-0.04	4.0E-01
MAGEA9B	UCEC	129	0.25	-0.08	5.7E-02
SSX5	UCEC	5	0.01	-0.03	4.8E-01
SSX7	UCEC	8	0.02	-0.09	4.1E-02
TSPY2	UCEC	1	0.00	0.01	7.6E-01
CTAG1	UCEC	43	0.08	-0.05	2.6E-01

